genre,name,artists_name,album_name,album_release_date,duration_ms,popularity,track_number,uri
reggae,No Digas Nada (Déjà Vu),Cali Y El Dandee,3 A.M. (Deluxe),2014-01-01,213466,66,1,spotify:track:3DhD3hWyou0QluBBTSiBC5
reggae,Siempre Me Llama - Remix,"Opi the Hit Machine, Farruko, Maldy, Yaviah",Siempre Me Llama (Remix),2016-04-30,250682,62,1,spotify:track:57wn9jsBDtLR2jZ0Uj4y73
reggae,Voy A Beber (Original),Nicky Jam,Voy A Beber,2014-01-01,213560,53,1,spotify:track:1hMW2InUHSFeujNyQhWkMR
reggae,Lean,"Super Yei, Sammy, Jone Quest, Towy, Osquel, Beltito, Sammy & Falsetto",Lean,2017-03-31,260545,71,1,spotify:track:44BZWegR2TBYtgZdAHwaGH
reggae,Guaya,Cosculluela,Guaya,2017-09-15,207270,69,1,spotify:track:6jhmBvxtwBiEIpxdywJtbh
reggae,Passion Whine,"Farruko, Sean Paul",Farruko Presents Los Menores,2016-02-22,213311,75,14,spotify:track:2QAwkI8L0UVBpjHJ6PwBzn
reggae,Hablame Claro,"Bryant Myers, Ñejo",Hablame Claro,2017-07-08,215457,62,1,spotify:track:7EpqPLmpL5P0ZskJ9PSgoa
reggae,Dentro de Ti,"Franco ""El Gorilla"", Anonimus, Eloy, Bryant Myers",Dentro de Ti,2017-10-27,238341,65,1,spotify:track:6iymzYcu9eadPGSp1PRFBv
reggae,Si Te Dejas Llevar,"Ozuna, Juanka",Si Te Dejas Llevar (feat. Juanka),2015-06-17,227996,69,1,spotify:track:3cdecPxEdxk99munEMVQ01
reggae,Tu Chapo,Ele A El Dominio,Tu Chapo,2017-11-21,243795,67,1,spotify:track:4nuFE7WmAXiJ56RXZbiG43
reggae,"Culpable Remix (feat. Anuel AA, Kevin Roldan, Bryant Myers, Noriel & Darkiel)","Mike Duran, Anuel AA, Noriel, KEVIN ROLDAN, Bryant Myers, Darkiel","Culpable Remix (feat. Anuel AA, Kevin Roldan, Bryant Myers, Noriel & Darkiel)",2016-09-30,303720,63,1,spotify:track:5mJM0tbaKdnrXf56QTMxQR
reggae,Sigo Extrañándote,J Balvin,Energía,2016-06-24,201280,74,5,spotify:track:0k23rRi1B8ZHrKtzECGoyk
reggae,Quien Dijo Amigos?,Carlitos Rossy,Quien Dijo Amigos?,2015-10-13,223706,57,1,spotify:track:2Vjyk2WqC4MmyxwPlIwvt7
reggae,Si El Mundo Se Acabara,"Justin Quiles, Los De La Nazza",Imperio Nazza: Justin Quiles Edition,2016-01-22,222209,63,9,spotify:track:4aCk50WpvliyFaoRlOe8IM
reggae,Mera Bebe,Bryant Myers,Mera Bebe,2016-10-15,194815,61,1,spotify:track:6rj1soar7oFauipD9gQK9K
reggae,"Escápate Conmigo (feat. Ozuna, Bad Bunny, De La Ghetto, Arcángel, Noriel & Almighty) - Remix","Wisin, Ozuna, Bad Bunny, De La Ghetto, Arcángel, Noriel, Almighty",Victory,2017-12-01,386333,66,16,spotify:track:5YY7ht3PCArlLjLbcTiAvh
reggae,La Rosa Negra (feat. Carnal),"Musicologo Y Menes, Carnal",Imperio Nazza,2013-05-24,212080,55,3,spotify:track:3svvCaJ1gVAQjhWI6mMmO6
reggae,Esta Noche,Justin Quiles,Esta Noche,2014-03-21,212088,67,1,spotify:track:7J4ldEKgygxQrKo0y9msdH
reggae,Sin Contrato,Maluma,"Pretty Boy, Dirty Boy",2015-10-30,221053,71,5,spotify:track:3yHJs5NmQk2ROAWCfjniXV
reggae,Diabla (Official Remix),"Frank Miami, Farruko, Lary Over, Bad Bunny",Diabla (Official Remix),2017-02-25,331413,65,1,spotify:track:5DDPAkxwe9JxVgsVtiy5ZO
reggae,Me Llamas (feat. Maluma) - Remix,"Piso 21, Maluma",Me Llamas (feat. Maluma) [Remix],2016-12-02,210322,71,1,spotify:track:5hEM0JchdVzQ5PwvSfITeX
reggae,¿Por Qué Les Mientes?,"Tito ""El Bambino"", Marc Anthony",Invicto (El Patrón),2017-04-10,213306,69,1,spotify:track:5G9apJpojORVj2gwLgmSrD
reggae,Pa' Que Mentir,"The Secret Panda, Ele A El Dominio, Lito Kirino",Pa' Que Mentir,2017-09-14,218709,62,1,spotify:track:0DzPECq3kQMI8TFcDwqxLy
